"time","velocity","acceleration","pose__translation__x","pose__translation__y","pose__rotation__radians","curvature"
"0.0","0.0","4.0","0.0","0.0","0.0","0.0"
"0.2117497382764764","0.8469989531059056","4.0","0.0896759033203125","0.0","0.0","0.0"
"0.2967396477787267","1.1869585911149068","4.0","0.17610883712768555","0.0","0.0","0.0"
"0.38685682509812336","1.5474273003924934","4.0","0.29931640625","0.0","0.0","0.0"
"0.432795408235054","1.731181632940216","3.9999999999999973","0.37462373077869415","0.0","0.0","0.0"
"0.47874102830572973","1.914964113222919","3.999999999999998","0.4583859443664551","0.0","0.0","0.0"
"0.5242907771672657","2.0971631086690627","4.0","0.549761638045311","0.0","0.0","0.0"
"0.569073729553534","2.276294918214136","4.000000000000004","0.6476898193359375","0.0","0.0","0.0"
"0.6127509539665631","2.4510038158662524","3.999999999999996","0.7509274631738663","0.0","0.0","0.0"
"0.6550141459677391","2.6200565838709564","4.0","0.8580870628356934","0.0","0.0","0.0"
"0.6955839923637144","2.7823359694548575","-1.6586271147316105","0.9676741808652878","0.0","0.0","0.0"
"0.7357623097582103","2.715695122800054","-4.000000000000004","1.078125","0.0","0.0","0.0"
"0.7774435440509985","2.5489701856289013","-3.999999999999996","1.1878438740968704","0.0","0.0","0.0"
"0.8210704231527011","2.374462669222091","-4.000000000000004","1.295240879058838","0.0","0.0","0.0"
"0.8664021146577944","2.1931359032017177","-4.0","1.3987693637609482","0.0","0.0","0.0"
"0.9131701390551615","2.006063805612249","-3.999999999999998","1.4969635009765625","0.0","0.0","0.0"
"0.9610760367246045","1.8144402149344772","-4.0","1.588475838303566","0.0","0.0","0.0"
"1.0097878619430674","1.619592914060626","-3.999999999999997","1.6721148490905762","0.0","0.0","0.0"
"1.0589351124997308","1.4230039118339723","-4.000000000000002","1.7468824833631516","0.0","0.0","0.0"
"1.1081014518590273","1.2263385543967864","-3.9999999999999982","1.81201171875","0.0","0.0","0.0"
"1.2045282294993078","0.8406314438356648","-4.000000000000001","1.9116673469543457","0.0","0.0","0.0"
"1.2942556997592554","0.48172156279587486","-4.0","1.9709930419921875","0.0","0.0","0.0"
"1.4146860904582241","0.0","-4.0","2.0","0.0","0.0","NaN"
